x,y,color
42.33909547405605,-11.539940888368847,blue
47.16737882098503,-12.117503086548524,blue
52.07202747545054,-11.273529714901088,blue
57.02417407223226,-10.939901759795575,blue
61.49203568094369,-12.892669394086795,blue
64.1553723589189,-17.058255210730735,blue
65.7619408585032,-21.765833920362837,blue
66.8380930262967,-26.622051514807566,blue
67.21305106707034,-31.580059265554866,blue
66.81973365779135,-36.53721631908624,blue
65.74116015489513,-41.391946189336636,blue
63.8619201652823,-45.991150396628115,blue
60.798449163960136,-49.878136722164925,blue
56.32873702202085,-51.91365663363945,blue
51.416299663566434,-52.681384455434056,blue
46.65777678607216,-54.13628542955374,blue
41.88248613238725,-55.53249771672489,blue
36.97133552876124,-56.322047249374265,blue
32.006685430846,-56.66480411997631,blue
27.031571658280868,-56.76803886594439,blue
22.129709014306215,-56.01116507532117,blue
17.688768174092544,-53.800831199808385,blue
13.819327002745666,-50.678031408465074,blue
10.2612123901648,-47.19826029978017,blue
6.67746109710113,-43.74535991156051,blue
2.75516810379348,-40.68756139343418,blue
-1.4601957013256879,-38.04269968268591,blue
-5.731392917430981,-35.487560358030976,blue
-9.835830279911193,-32.67607341557128,blue
-13.499428789106432,-29.316677774098153,blue
-16.413852113377388,-25.294196579528162,blue
-18.401935847602232,-20.740768045875313,blue
-19.556807049014765,-15.904436933716198,blue
-19.979649324393108,-10.949897271159813,blue
-19.56028566697009,-5.99855784715885,blue
-17.871808750846597,-1.343871264517432,blue
-14.199198769234243,1.8785451365249344,blue
-9.284544895916767,2.2316986702163604,blue
-4.334185408553694,1.7199845067678154,blue
0.6368970553314313,1.4853075959006077,blue
5.61376764318409,1.491871879329139,blue
10.587714610109998,1.6688722715823303,blue
15.557810395491401,1.9351026422237112,blue
20.527664658596024,2.205930558298107,blue
25.501034284676336,2.3992580136380894,blue
30.477812310183964,2.4407674106731463,blue
35.23692319752995,1.3546972389009113,blue
38.14982971148265,-2.608771226818945,blue
39.904295258649356,-7.265120264806882,blue
40.50261188861611,-13.910164131322901,yellow
45.11135234218427,-15.263740484646576,yellow
49.964175997705254,-14.703616081854321,yellow
54.79405473683842,-13.93918687634779,yellow
59.397593508382705,-15.04094637644073,yellow
61.802254019993185,-19.256934293387772,yellow
63.2350744584393,-23.93218738294867,yellow
64.08158113049488,-28.74591260956727,yellow
64.13233441593357,-33.631768753102406,yellow
63.407930980950994,-38.46559488656291,yellow
61.92754457610405,-43.120837441755754,yellow
59.28472744935352,-47.20240925092264,yellow
54.88975337608432,-49.0700596404273,yellow
50.080498028034626,-49.92853991954746,yellow
45.41198691335094,-51.388176863321576,yellow
40.70726520697836,-52.71913686914266,yellow
35.86782988428123,-53.41527267452244,yellow
30.984811383574083,-53.70438033310529,yellow
26.095436293554172,-53.717373023682995,yellow
21.39283717952121,-52.48897285557487,yellow
17.335490419884508,-49.77761494674118,yellow
13.752930365774048,-46.44858031734739,yellow
10.281599629115064,-43.00159214685527,yellow
6.605739326025855,-39.77708298706398,yellow
2.58550567723033,-36.99305698704538,yellow
-1.6063154412288156,-34.47124220760821,yellow
-5.7673224810581445,-31.899729536320024,yellow
-9.647625244159954,-28.927863412606584,yellow
-12.885562437872125,-25.275172565999398,yellow
-15.148240779654131,-20.95143663593791,yellow
-16.452933346685484,-16.24312903141586,yellow
-16.972243654982847,-11.383919218387078,yellow
-16.60467797497118,-6.515277333059132,yellow
-14.702592825835211,-2.065519800566861,yellow
-10.235284727546514,-0.690555595690725,yellow
-5.370765842542724,-1.2063753441891976,yellow
-0.4872841923544087,-1.4865352092849236,yellow
4.404258043731403,-1.528581574144411,yellow
9.294268141207567,-1.3917822195657834,yellow
14.180224166474517,-1.147453970116672,yellow
19.06465415036773,-0.8735946536685759,yellow
23.951566684514262,-0.6497989077575426,yellow
28.842468462367776,-0.5520129334371546,yellow
33.60545418432375,-1.1707068819116984,yellow
36.03023728714766,-5.357575344062369,yellow
37.738253135629726,-9.940931681272971,yellow
